Part,Quantity,Link,Price,Notes
MGN12 250 mm,2,https://www.aliexpress.us/item/2255800576028509.html?spm=a2g0o.productlist.main.1.23f2o3bMo3bMH7&algo_pvid=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7&algo_exp_id=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7-0&pdp_ext_f=%7B%22order%22%3A%222149%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2114.80%215.80%21%21%2114.80%215.80%21%402101c72a17426971571492496ec180%2112000021007222464%21sea%21US%213026219538%21ABX&curPageLogUid=ng2BcBWToTPu&utparam-url=scene%3Asearch%7Cquery_from%3A,24.74,cut to 220
MGN12 200 mm,4,https://www.aliexpress.us/item/2255800576028509.html?spm=a2g0o.productlist.main.1.23f2o3bMo3bMH7&algo_pvid=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7&algo_exp_id=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7-0&pdp_ext_f=%7B%22order%22%3A%222149%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2114.80%215.80%21%21%2114.80%215.80%21%402101c72a17426971571492496ec180%2112000021007222464%21sea%21US%213026219538%21ABX&curPageLogUid=ng2BcBWToTPu&utparam-url=scene%3Asearch%7Cquery_from%3A,43.92,cut to 180
24v 300W psu,1,https://www.aliexpress.us/item/1005007450441202.html?spm=a2g0o.productlist.main.1.41bc163bpR2lfb&algo_pvid=f87d513e-2650-4d0d-8cda-f41ba4468f9e&algo_exp_id=f87d513e-2650-4d0d-8cda-f41ba4468f9e-0&pdp_ext_f=%7B%22order%22%3A%224371%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.92%216.92%21%21%216.92%216.92%21%402101c59517538598749731863ea9fc%2112000040804211383%21sea%21CA%216311244909%21X&curPageLogUid=OHpx6Ko0WjJg&utparam-url=scene%3Asearch%7Cquery_from%3A,10.37,
BTT Octopus PRO ,1,https://spool3d.ca/bigtreetech-octopus-pro-32-bit-3d-printer-control-board/,52.5,"i js chose this source cuz they are based in my city, you might want to get from aliexpress or smth"
klicky,1,https://www.aliexpress.us/item/1005005024460822.html?spm=a2g0o.productlist.main.1.266f1d51aYnBh2&algo_pvid=5356e695-6f4c-473a-a9f0-f06143562bfa&algo_exp_id=5356e695-6f4c-473a-a9f0-f06143562bfa-0&pdp_ext_f=%7B%22order%22%3A%22235%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.12%215.12%21%21%215.12%215.12%21%402101ef5e17538572682022903e42ab%2112000033703545905%21sea%21CA%216311244909%21X&curPageLogUid=ErvPVTDqHY6G&utparam-url=scene%3Asearch%7Cquery_from%3A,5.12,
HGX lite extruder,1,https://www.aliexpress.us/item/3256807742609969.html?spm=a2g0o.productlist.main.34.3d422939UOLNRq&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best&algo_pvid=6170a45f-39c3-4b6f-a899-dc21dd3084d2&algo_exp_id=6170a45f-39c3-4b6f-a899-dc21dd3084d2&pdp_ext_f=%7B%22order%22%3A%2219%22%7D&pdp_npi=4%40dis%21USD%2120.83%2110.90%21%21%2120.83%2110.90%21%402101d9ef17427009962337851e5ed7%2112000042898399247%21sea%21US%210%21ABX&gatewayAdapt=4itemAdapt,0,its at 0 cuz its already owned for me
20t idler,4,https://www.aliexpress.us/item/1005007829058925.html?spm=a2g0o.productlist.main.1.28e4eee4ACxOy9&algo_pvid=690e7c92-8365-4338-8102-9f7d7bc176a0&algo_exp_id=690e7c92-8365-4338-8102-9f7d7bc176a0-4&pdp_ext_f=%7B%22order%22%3A%221883%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%210.70%210.69%21%21%215.02%214.97%21%402101c5bf17538579452485886e8f16%2112000042362571473%21sea%21CA%216311244909%21X&curPageLogUid=ZmA4TFB1Bcoy&utparam-url=scene%3Asearch%7Cquery_from%3A,3.36,
20T pulley 5-pack,1,https://www.aliexpress.us/item/1005001933418605.html?spm=a2g0o.productlist.main.3.10407a575KVHAN&algo_pvid=38ca0228-dcf0-477a-9064-57e7ce31235f&algo_exp_id=38ca0228-dcf0-477a-9064-57e7ce31235f-2&pdp_ext_f=%7B%22order%22%3A%22940%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.88%21%21%211.88%211.88%21%402101eac917427021425817901e69f4%2112000018146726861%21sea%21US%213026219538%21ABX&curPageLogUid=1RBtj4vuZ7sH&utparam-url=scene%3Asearch%7Cquery_from%3A&gatewayAdapt=4itemAdapt,3.21,
tz v2 hotend,1,https://www.aliexpress.us/item/1005008343915526.html?spm=a2g0o.productlist.main.7.7ea830408hHyLE&algo_pvid=bfb20e33-ecab-4f75-a3ca-d3b7ae477df8&algo_exp_id=bfb20e33-ecab-4f75-a3ca-d3b7ae477df8-6&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.32%212.32%21%21%2116.58%2116.58%21%402103244817538589480361999edd23%2112000044672073466%21sea%21CA%216311244909%21X&curPageLogUid=hdW15BLrTGBw&utparam-url=scene%3Asearch%7Cquery_from%3A,8.94,
Creality Ender 2 Pro Heatbed,1,https://spool3d.ca/creality-ender-2-pro-heatbed/,23.8,"i js chose this source cuz they are based in my city, you might want to get from aliexpress or smth"
